term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
portfolio,1278,Why AbbVie (ABBV) is a Top Dividend Stock for Your Portfolio,"Aldebaran Financial Inc. Buys SPDR Portfolio Developed World ex-US, Essential Utilities Inc, ...",False,False
open,1258,"Stocks Climb Before the Open as Investors Await Key U.S. GDP Data, Meta Results Boost Sentiment",Stocks Set to Open Lower as Investors Await Key U.S. Inflation Data and Big Tech Earnings,False,False
electric,1253,"Pearl River Capital, LLC Buys American Electric Power Co Inc, Goldman Sachs Group Inc, ...","What Does 2023 Have in Store for Growth Stocks, Electric Vehicles, and More?",False,False
banks,1251,"BUZZ-U.S. STOCKS ON THE MOVE-Airlines, banks, oil stocks, Co-Diagnostics","Buffett’s Berkshire Hathaway Buys New Stakes in Vaccine Makers, Cuts Banks",False,False
nvda,1246,"5 Top Stock Trades for Thursday: AMD, NVDA, FB, QCOM, ABBV","Noteworthy Thursday Option Activity: NFLX, NVDA, ABT",False,False
inflow,1231,Invesco S&P Ultra Dividend Revenue ETF Experiences Big Inflow,iShares Russell Top 200 Growth ETF Experiences Big Inflow,False,True
bln,1228,"Sosei, AbbVie sign drug discovery deal worth up to $1 bln",Boehringer gets into 'guided-missile drugs' with $1.5 bln deal for NBE,False,False
inflation,1223,1 Dividend Stock to Help You Fight Inflation,2 Great Dividend Stocks to Buy Now to Help Tackle Inflation,False,False
technology,1217,Top-Notch Vaccine Technology Makes iBio Stock a Smart Bet,"Standard Life Aberdeen plc Buys New Oriental Education & Technology Group Inc, MercadoLibre ...",False,False
semiconductor,1212,"Shares of companies in the software, technology and semiconductor spaces are trading lower as continued coronavirus fears cause weakness across sectors.","Shares of several technology, semiconductor, and software companies are trading lower as global markets continue to experience volatility amid the coronavirus spread.",False,False
jones,1204,Beat the Dow Jones With This Unstoppable Dividend Stock,"After a 13-Day Winning Streak, the Dow Jones Moves Lower",False,False
wmt,1192,"4 Top Stock Trades for Wednesday: LVGO, WMT, ABBV, NVAX","Daily Dividend Report: MTB,SHW,WMT,WCN,HUM,ABBV",False,False
consumer,1185,17 Consumer Groups and Unions Ask FTC to Block AbbVie's Acquisition of Allergan,"Pharma Stock Roundup: GSK's Consumer Unit Offer Rejection, FDA Updates for AZN, PFE",False,False
sachs,1180,AbbVie To Present At Virtual Goldman Sachs Global Healthcare Conference; Webcast At 10:30 AM ET,AbbVie To Present At The Goldman Sachs Global Healthcare Conference; Webcast At 9:40 AM ET,False,False
buying,1177,You Won't Regret Buying These 3 Bargain Stocks,"Monday 3/30 Insider Buying Report: ABBV, NKE",False,True
china,1174,"'China testing HIV drug as treatment for new coronavirus, AbbVie says' -Reuters","In a first, China knocks U.S. from top spot in global patent race",False,False
revenues,1171,"Reata's (RETA) Q4 Earnings Miss Mark, Revenues Decline Y/Y",Eli Lilly (LLY) Q1 Earnings and Revenues Top Estimates,False,False
what's,1169,How Allergan Beat Estimates in What's Likely Its Last Quarterly Update,Allergan (AGN) to Report Q1 Earnings: What's in the Cards?,False,False
fargo,1153,Wells Fargo Maintains Abbvie (ABBV) Overweight Recommendation,"BUZZ-U.S. STOCKS ON THE MOVE-Netflix, Wells Fargo, Tesla, BofA, J.C. Penny, Noble Energy",False,False
first,1140,"In a first, China knocks U.S. from top spot in global patent race","Harpoon Therapeutics Doses First Patient with HPN217, a BCMA Targeting TriTAC, for Multiple Myeloma, Triggering a $50M Milestone Payment from AbbVie",False,False
just,1137,Inovio’s Surge on a Coronavirus Vaccine Was Just Speculation,AbbVie Is More Than Just a Portfolio of Drugs and Acquisitions,False,False
outflow,1131,"IVV, MDT, ABBV, PYPL: ETF Outflow Alert",iShares Edge MSCI USA Momentum Factor ETF Experiences Big Outflow,False,True
ups,1128,"Biogen (BIIB) Beats on Q2 Earnings & Sales, Ups 2022 Guidance",UnitedHealth ups profit view as lower medical costs drive quarterly beat,False,False
large,1120,"NOBL, TGT, ABBV, ADM: Large Inflows Detected at ETF",Buy this High-Yield Large Cap Pharma Stock for Income Amid Coronavirus,False,False
time,1110,From JP Morgan Healthcare Conference: AbbVie CEO Sees Humira Continuing To Grow In US Through The Time It Loses Market Exclusivity,It's Decision Time Next Week,False,False
stanley,1105,"UPDATE: Morgan Stanley Reinstates Abbvie With Overweight, $95 Target Notes 'We view Humira erosion fears as overly discounted and Abbvie's prospects as underappreciated'","Morgan Stanley Reinstates Overweight on AbbVie, Announces $95 Price Target",False,False
american,1100,"Cohen Lawrence B Buys American Tower Corp, NextEra Energy Inc, Bristol-Myers Squibb Company, ...","Ex-Dividend Reminder: AbbVie, American Financial Group and Pennymac Mortgage Investment Trust",False,False
reasons,1097,3 Reasons AbbVie Is a Better Bargain Than You Might Think,"Is AbbVie (ABBV) a Solid Growth Stock? 3 Reasons to Think "" Yes """,False,False
still,1085,These 3 Stocks Are Still Ridiculously Cheap Right Now,3 Stocks You Can Still Buy on Sale in a Ridiculously Expensive Market,False,False
focus,1083,Merck Q4 Earnings Preview: Keytruda And Gardasil In Focus,Top Dividend Stocks To Buy In 2021? 3 In Focus,False,False
rally,1065,Biotech Stock Rally Is Crushing Short Sellers,Despite A 65% Rally AbbVie Stock Looks Like It Can Gain More,False,True
investment,1056,Fitch Ratings Says Impeachment Trial Won't Hurt Healthcare Investment in 2020,"The Zacks Analyst Blog Highlights: Macy's, AbbVie, Pfizer and New Residential Investment",False,False
recommendation,1055,Morgan Stanley Maintains AbbVie (ABBV) Overweight Recommendation,Guggenheim Maintains Abbvie (ABBV) Buy Recommendation,False,False
investing,1051,Investing in These Stocks Now Could Make You a Millionaire Retiree,3 Investing Strategies to Grow Your Money Like Magic,False,False
general,1037,"Westhampton Capital, LLC Buys General Dynamics Corp, Truist Financial Corp, Qualcomm Inc, Sells ...","Farallon Capital Management Llc Buys Centene Corp, IQVIA Holdings Inc, General Dynamics Corp, ...",False,False
sources,1034,EXCLUSIVE-AbbVie in talks to sell $5 bln women's drugs portfolio - sources,EXCLUSIVE-AbbVie in talks to sell $5 bln women's drugs portfolio -sources,False,False
outflows,1028,"Noteworthy ETF Outflows: IWF, ABBV, COST, NKE","IWM, RNDV: Big ETF Outflows",False,True
