term,frequency,example_headline_1,example_headline_2,in_vader_lexicon,selected_for_custom_lexicon
potential,778,AbbVie to Test HIV Drug as a Potential Coronavirus Treatment,AstraZeneca contacted Gilead over potential megamerger -Bloomberg News,False,False
sbux,778,"Nasdaq 100 Movers: SBUX, CERN","TQQQ, GOOGL, ADBE, SBUX: ETF Outflow Alert",False,False
dip,773,"Moderna Will Rebound, But Wait for a Dip Lower to Buy Shares",8 Strong Uptrend Stocks to Buy on the Next Dip,False,False
drug,768,AbbVie's Rheumatoid Arthritis Drug Receives Approval from Health Canada,High Drug Prices Remains a Top Issue in Democratic Debates,False,False
retail,768,Retail REITs Are on Fire,"Retail Trends, a Commodity to Watch, and Gift-Giving Tips",False,False
rate,765,Progenity Has Seven Quarters Left to Reverse Its Burn Rate,UK pharma body urges govt to scrap hike in repayment rate for drugmakers,False,False
despite,756,Biogen (BIIB) Stock Down Despite Q1 Earnings & Sales Beat,"Despite Buffett Bullishness, Stock Markets Are Falling",False,False
sciences,754,Gilead Sciences Looks Ready to Outpace AbbVie,Better Buy: AbbVie vs. Gilead Sciences,False,False
services,752,"Annex Advisory Services, LLC Buys ProShares Short S&P5……, PIMCO Enhanced Short Maturity ...","Smith Chas P & Associates Pa Cpas Buys Visa Inc, Starbucks Corp, PNC Financial Services ...",False,False
t-mobile,749,"Top Stock Reports for Abbott Laboratories, T-Mobile & Intuit","The Zacks Analyst Blog Highlights Abbott, T-Mobile US, Intuit, Analog Devices and The Progressive",False,False
healthcare,745,7 Healthcare Stocks to Buy or Sell As Pricing Pressures Mount,2020 J.P. Morgan Healthcare Conference Roundup,False,False
bull,739,"Agilysys, Manpower, Eli Lilly and Company, Innoviva and AbbVie highlighted as Zacks Bull and Bear of the Day",What's Next For The Biotech Bull Market? Are you a Trader or an Investor?,False,False
detailed,738,Validea Detailed Fundamental Analysis - ABBV,Validea Detailed Fundamental Analysis - ABBV,False,False
gild,726,Gilead (GILD) Announces Positive Long-Term Results on Descovy,Gilead (GILD) to Report Q4 Earnings: Is a Beat in the Cards?,False,False
investor,725,What's Next For The Biotech Bull Market? Are you a Trader or an Investor?,Here's How a New Investor Started Her Portfolio With Just 10 Top Stocks,False,False
beyond,724,"Beyond the Growing Dividend, Abbvie Stock Is a Good Buy Here","BUZZ-U.S. STOCKS ON THE MOVE-GM, Axcella, Beyond Meat, SmileDirect",False,False
nee,724,"Notable ETF Inflow Detected - ESGU, NEE, CRM, ABBV","Pre-Market Earnings Report for October 28, 2022 : XOM, CVX, ABBV, NEE, SNY, CL, AON, CHTR, IMO, GWW, LYB, CHD",False,False
upside,723,Analysts Predict 34% Upside For TOK,Vertex Is Positioned For Upside,False,False
ipo,716,"If You Invested $5,000 in AbbVie IPO, This Is How Much Money You'd Have Now",Meet the Pharma Company That Just Had a Bigger IPO Than Moderna's,False,False
nextera,715,"Cohen Lawrence B Buys American Tower Corp, NextEra Energy Inc, Bristol-Myers Squibb Company, ...","Top Research Reports for AbbVie, NextEra Energy & ConocoPhillips",False,False
service,709,"MinichMacGregor Wealth Management, LLC Buys United Parcel Service Inc, iShares –-' Year ...","Cypress Asset Management Inc Buys Verizon Communications Inc, United Parcel Service Inc, ...",False,False
look,706,5 Key Things Investors Should Look Forward to With AbbVie in 2020,3 Healthcare Companies Worth a Look,False,False
ex-dividend,705,"Ex-Dividend Reminder: AbbVie, Allergan and Abbott Laboratories","Ex-Dividend Reminder: AbbVie, American Financial Group and Pennymac Mortgage Investment Trust",False,False
amgen,705,"Amgen (AMGN) Q1 Earnings Top, to Study Otezla for Coronavirus","CNB Bank Buys Truist Financial Corp, AbbVie Inc, Amgen Inc, Sells FlexShares Global Upstream ...",False,False
industry,692,AbbVie Stock Is a Winner in the Pharmaceutical Industry,"Zacks Industry Outlook Highlights: Roche, Pfizer, AbbVie and Merck",False,False
trade,691,AbbVie and Allergan Sign Consent Decree Agreement with Federal Trade Commission Staff on ...,"Trade Alert: The Independent Director Of AbbVie Inc. (NYSE:ABBV), Roxanne Austin, Has Sold Some Shares Recently",False,False
walt,690,"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Buys Bank of America Corp, The Walt Disney ...","Grisanti Capital Management LLC Buys Comcast Corp, Visa Inc, The Home Depot Inc, Sells The Walt ...",False,False
caterpillar,685,"US STOCKS-Apple, Amazon knock S&P 500, Nasdaq off record peak; Caterpillar lifts Dow","The Zacks Analyst Blog Highlights AbbVie PepsiCo, The Walt Disney, Caterpillar and PBF Energy",False,False
experiences,681,Invesco S&P Ultra Dividend Revenue ETF Experiences Big Inflow,iShares Edge MSCI USA Momentum Factor ETF Experiences Big Outflow,False,False
begin,680,ABBV May 8th Options Begin Trading,S.Korea's Celltrion to begin commercial production of COVID-19 antibody drug,False,False
rebound,679,"Moderna Will Rebound, But Wait for a Dip Lower to Buy Shares",AbbVie Shares Rebound From Session Low As CEO Recently Spoke With Jim Cramer On CNBC's Squawk Street,False,True
management,679,"Spirit Of America Management Corp Buys Hess Midstream Operations LP, Blackstone Group Inc, TC ...","Foundation Resource Management Inc Buys ViacomCBS Inc, The Kraft Heinz Co, AbbVie Inc, Sells ...",False,False
nyse,676,How is Abbvie Inc (NYSE: ABBV) Preparing For Life After Humira?,AbbVie Inc. (NYSE:ABBV) Will Pay A US$1.30 Dividend In Four Days,False,False
facts,675,AbbVie Reports CHMP Positive Opinion For VENCLYXTO - Quick Facts,AbbVie Issues FY20 Outlook - Quick Facts,False,False
expect,673,Analysts Expect FXH To Hit $98,3 Things to Expect From Berkshire Hathaway in 2021,False,False
stocks-s,673,"US STOCKS-S&P 500, Dow drop from record levels as coronavirus cases spike","US STOCKS-S&P, Dow futures retreat as coronavirus cases spike",False,False
corporation,672,"Why Royal Caribbean, Carnival Corporation, and Norwegian Cruise Line Stocks All Just Popped 5% (and More)","Convergence Investment Partners, LLC Buys State Street Corporation, Goldman Sachs Group Inc, ...",False,False
health,664,AbbVie: Health Canada Approves RINVOQ For Treatment Of Rheumatoid Arthritis,AbbVie's Rheumatoid Arthritis Drug Receives Approval from Health Canada,False,False
highs,662,Royalty Pharma Stock Is Likely to Reach New Highs in the Coming Years,3 Bargain Stocks to Buy With the Market Near All-Time Highs,False,False
conocophillips,660,"Top Research Reports for AbbVie, NextEra Energy & ConocoPhillips","The Zacks Analyst Blog Highlights AbbVie, NextEra Energy, ConocoPhillips, Canadian Pacific Railway and Intercontinental Exchange",False,False
plans,657,Merck’s Spinoff Plans Place a Big Bet on Cancer-Fighting Keytruda,"Pfizer Plans Coronavirus Therapy, Progresses With Tanezumab BLA",False,False
ends,652,Wall Street Ends in the Red on Tuesday,"US STOCKS-Wall Street ends lower, weighed down by Apple",False,False
need,649,2 Charts Big Pharma Investors Need to Understand,7 Best Value Stocks to Buy if You Need Some Market Stability in Your Life ,False,False
utilities,648,"CHURCHILL MANAGEMENT Corp Buys SPDR Select Sector Fund - Utilities, SPDR Select Sector Fund - ...","Aldebaran Financial Inc. Buys SPDR Portfolio Developed World ex-US, Essential Utilities Inc, ...",False,False
season,638,Is a Beat Likely for AbbVie (ABBV) This Earnings Season?,Why AbbVie (ABBV) Might Surprise This Earnings Season,False,False
realty,636,"Harbour Capital Advisors, LLC Buys Netflix Inc, Neurocrine Biosciences Inc, Digital Realty ...","BUZZ-U.S. STOCKS ON THE MOVE-Zovio, Tyson Foods, Mack-Cali Realty, Xerox",False,False
long-term,635,Gilead (GILD) Announces Positive Long-Term Results on Descovy,"AbbVie's : Long-term Results Show RINVOQ Improves Signs, Symptoms On Rheumatoid Arthritis",False,False
holdings,626,Insiders Buy the Holdings of DHS ETF,Insiders Buy the Holdings of DEW ETF,False,False
microsoft,624,"Peloton Wealth Strategists Buys Microsoft Corp, Intuitive Surgical Inc, WestRock Co, Sells ...",US STOCKS-Wall Street recovers from early lows on Microsoft boost,False,False
tesla,623,"BUZZ-U.S. STOCKS ON THE MOVE-Microsoft Corp, Tesla Inc","BUZZ-U.S. STOCKS ON THE MOVE-Apple Inc, Tesla Inc, PolyMet Mining Corp, Seelos Therapeutics",False,False
unusual,621,Monday's ETF with Unusual Volume: PJP,Tuesday's ETF with Unusual Volume: PPH,False,False
pandemic,621,Weekly Biotech Update After WHO Declares Coronavirus a Pandemic,"Shares of several healthcare companies are trading higher amid market strength. NOTE: The coronavirus pandemic has potentially benefited the sector due to demand for medical supplies, testing and treatment candidates",False,False
some,620,U.N. agency says coronavirus emergency could trump some patent rights,Bristol Myers Squibb Just Got Some Great Regulatory News,False,False
get,612,"Botox, Keytruda Get FDA Approval For New Uses, BVXV Abuzz, First Droopy Eyelid Treatment Is Here",Merck Is a Dividend Play Ready to Get Back in Gear,False,False
mixed,606,Here's What Caused Royalty Pharma's Mixed Results in Q4,"Dividends for Stability, Safety in a Mixed Market",False,False
latest,600,Dividend Aristocrat AbbVie Declares Its Latest Payout; Yield Is 5.3%,How Big Is Bristol Myers Squibb's Latest FDA Approval?,False,False
fda,599,FDA Approves Emergency Use of Coronavirus Test,"Pharma Stock Roundup: Trump, Pharma Executives Meeting on Coronavirus, FDA Updates",False,False
forever,597,3 Stocks You Can Keep Forever,2 Stocks I'll Hold Forever,False,False
dividends,595,3 Healthcare Stocks With Solid Dividends to Hold Through Bumpy Times,3 Stocks With Dividends Yielding More Than 3%,False,True
moving,595,ABBV Crosses Above Key Moving Average Level,AbbVie Breaks Above 200-Day Moving Average - Bullish for ABBV,False,False
mln,594,Abbvie partners with Genmab in $750 mln cancer therapy deal,Japan's Sosei Group signs $377 mln drug discovery deal with Abbvie,False,False
duk,594,"Pre-Market Earnings Report for February 9, 2023 : ABBV, PEP, AZN, PM, SPGI, DUK, BN, TRI, APO, HLT, TU, WTW","Notable ETF Inflow Detected - IDU, DUK, D, AEP",False,False
close,593,"AbbVie, Allergan Receive Final Europan Approval To Close Deal",AbbVie and Allergan Receive Final European Approval to Close Pending Transaction,False,False
rises,589,AbbVie (ABBV) Jumps: Stock Rises 8.6%,"AbbVie Rises on Q1 Beats, Raised EPS Guidance",False,False
stimulus,587,Coronavirus Stimulus Checks: Top Stocks To Buy Now,3 Stocks That'll Turn Your $600 Stimulus Check Into a Money Machine,False,False
electronic,585,"BUZZ-U.S. STOCKS ON THE MOVE-Microsoft Corp, Beyond Meat Inc, Peloton Interactive Inc, Electronic Arts Inc",OSI (OSIS) Wins $35-Million Electronic Assemblies Contract,False,False
llc,584,"Harbour Capital Advisors, LLC Buys Netflix Inc, Neurocrine Biosciences Inc, Digital Realty ...","Verity & Verity, LLC Buys Truist Financial Corp, Gilead Sciences Inc, JM Smucker Co, Sells ...",False,False
peter,583,Validea Peter Lynch Strategy Daily Upgrade Report - 2/25/2020,Validea Peter Lynch Strategy Daily Upgrade Report - 3/10/2020,False,False
vaccine,581,Inovio’s Surge on a Coronavirus Vaccine Was Just Speculation,Top-Notch Vaccine Technology Makes iBio Stock a Smart Bet,False,False
cheap,581,5 Healthcare Stocks That Are Profitable but Also Cheap,AbbVie Is Cheap and Pays an Attractive Yield,False,False
arts,581,"BUZZ-U.S. STOCKS ON THE MOVE-Microsoft Corp, Beyond Meat Inc, Peloton Interactive Inc, Electronic Arts Inc","BUZZ-U.S. STOCKS ON THE MOVE-Microsoft Corp, Beyond Meat Inc, Peloton Interactive Inc, Electronic Arts Inc",False,False
all,580,Abbvie's SKYRIZI Met Barth Primary And All Ranked Secondary Endpoints In Phase 3 Study,"Here Are All the Companies Working on COVID-19 Vaccines, Treatments, and Testing",False,False
max,579,Abbott's (ABT) Epic Max Tissue Valve Receives FDA Approval,"Boeing, FAA Reportedly Review Wiring Issue On 737 MAX",False,False
falls,577,Wall St Week Ahead-Spotlight falls on 'dividend aristocrats' after market tumult,Wall St Week Ahead-Spotlight falls on 'dividend aristocrats' after market tumult,False,False
bac,577,"Notable Friday Option Activity: PENN, ABBV, BAC","SPLG, BRK.B, ABBV, BAC: ETF Inflow Alert",False,False
lynch,574,Validea Peter Lynch Strategy Daily Upgrade Report - 2/25/2020,Validea Peter Lynch Strategy Daily Upgrade Report - 3/10/2020,False,False
take,573,Moderna Short Sellers Take $450M Hit Following Coronavirus Vaccine Data,"Here's How Long It Could Realistically Take to Turn $25,000 Into $1 Million",False,False
sells,568,"Foundation Resource Management Inc Buys ViacomCBS Inc, The Kraft Heinz Co, AbbVie Inc, Sells ...","Verity & Verity, LLC Buys Truist Financial Corp, Gilead Sciences Inc, JM Smucker Co, Sells ...",False,True
retirement,563,"Simple Secrets Anyone Can Use to Reach Early Retirement - March 16, 2020","How Trading Your Own Retirement Can Fleece Your Financial Future - March 17, 2020",False,False
continue,562,AbbVie (ABBV) Up 1.9% Since Last Earnings Report: Can It Continue?,Will This Biopharma Company Continue to Crush It?,False,False
sees,556,From JP Morgan Healthcare Conference: AbbVie CEO Sees Humira Continuing To Grow In US Through The Time It Loses Market Exclusivity,From JP Morgan Healthcare Conference: AbbVie CEO Sees 7-8 US Competitors To Humira In 2023,False,False
exxonmobil,556,"Zacks Earnings Trends Highlights: Adobe, FedEx, Nike, ExxonMobil and Boeing",ExxonMobil Booted From Dow Jones Industrial Average,False,False
talks,555,EXCLUSIVE-AbbVie in talks to sell $5 bln women's drugs portfolio - sources,EXCLUSIVE-AbbVie in talks to sell $5 bln women's drugs portfolio -sources,False,False
biotech,550,2 Dividend-Paying Biotech Stocks Worth Owning in 2020,Weekly Biotech Update After WHO Declares Coronavirus a Pandemic,False,False
since,549,AbbVie (ABBV) Up 1.9% Since Last Earnings Report: Can It Continue?,US Stocks Post Best Month Since 1987,False,False
tmus,544,"QLD, ADBE, TMUS, ADP: ETF Outflow Alert","Notable Wednesday Option Activity: FMC, TMUS, ADBE",False,False
